date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2006-05-15,29.35,29.67,28.03,28.45,4.06428165,1016400,0.0,1.0
2006-05-12,29.6,29.75,29.02,29.59,4.22713863,922300,0.0,1.0
2006-05-11,30.82,31.02,29.51,29.76,4.25142432,1521900,0.0,1.0
2006-05-10,30.73,31.32,30.35,30.91,4.41570987,909300,0.0,1.0
2006-05-09,31.21,32.18,30.6,30.72,4.38856704,2255600,0.0,1.0
2006-05-08,30.29,30.43,29.9,30.0,4.28571,655300,0.0,1.0
2006-05-05,29.94,30.43,29.88,30.3,4.3285671,695500,0.0,1.0
2006-05-04,29.61,30.05,29.56,29.99,4.28428143,469700,0.0,1.0
2006-05-03,30.24,30.25,29.61,29.71,4.24428147,1194400,0.0,1.0
2006-05-02,29.6,30.38,29.51,30.2,4.3142814,1346300,0.0,1.0
2006-05-01,29.88,30.1,29.55,29.6,4.2285672,1441900,0.0,1.0
2006-04-28,29.95,30.79,29.6,29.64,4.23428148,2196000,0.0,1.0
2006-04-27,31.5,32.3,31.09,31.29,4.46999553,930900,0.0,1.0
2006-04-26,31.63,32.0,30.96,31.48,4.49713836,2067800,0.0,1.0
2006-04-25,33.01,33.12,31.2,31.68,4.52570976,3948700,0.0,1.0
2006-04-24,30.78,31.73,30.11,31.24,4.46285268,4434600,0.0,1.0
2006-04-21,31.29,31.29,30.39,30.8,4.3999956,1316900,0.0,1.0
2006-04-20,31.03,31.3,30.03,31.11,4.44428127,1269000,0.0,1.0
2006-04-19,29.77,31.75,29.3,31.08,4.43999556,2741000,0.0,1.0
2006-04-18,29.26,29.87,28.89,29.8,4.2571386,1209500,0.0,1.0
2006-04-17,29.0,29.2,28.75,29.2,4.1714244,768800,0.0,1.0
2006-04-13,28.58,29.26,28.55,29.19,4.16999583,725200,0.0,1.0
2006-04-12,28.67,29.09,28.35,28.72,4.10285304,979900,0.0,1.0
2006-04-11,28.4,28.62,27.84,28.52,4.07428164,1178800,0.0,1.0
2006-04-10,27.9,28.62,27.76,28.25,4.03571025,737900,0.0,1.0
2006-04-07,28.25,29.12,27.66,27.94,3.99142458,710400,0.0,1.0
2006-04-06,28.58,28.62,27.95,28.25,4.03571025,918900,0.0,1.0
2006-04-05,26.95,28.9,26.87,28.66,4.09428162,2012300,0.0,1.0
2006-04-04,28.05,28.15,27.26,27.41,3.91571037,1712300,0.0,1.0
2006-04-03,28.99,29.04,27.98,28.13,4.01856741,1217400,0.0,1.0
2006-03-31,28.5,29.11,28.5,28.99,4.14142443,559300,0.0,1.0
2006-03-30,29.11,29.35,28.11,28.64,4.09142448,928500,0.0,1.0
2006-03-29,28.13,29.4,27.95,29.21,4.17285297,1139800,0.0,1.0
2006-03-28,28.99,29.0,27.55,28.03,4.00428171,1201100,0.0,1.0
2006-03-27,28.39,29.1,28.26,28.89,4.12713873,759800,0.0,1.0
2006-03-24,28.17,28.7,28.03,28.67,4.09571019,495400,0.0,1.0
2006-03-23,28.0,28.65,27.5,28.29,4.04142453,1005900,0.0,1.0
2006-03-22,27.07,28.15,27.05,28.05,4.00713885,1026000,0.0,1.0
2006-03-21,27.25,27.75,26.95,27.17,3.88142469,808800,0.0,1.0
2006-03-20,26.35,27.65,26.3,27.08,3.86856756,1292200,0.0,1.0
2006-03-17,25.52,26.44,25.13,26.17,3.73856769,1399100,0.0,1.0
2006-03-16,25.05,25.65,25.03,25.47,3.63856779,495900,0.0,1.0
2006-03-15,25.22,25.33,24.9,25.11,3.58713927,525000,0.0,1.0
2006-03-14,25.05,25.61,24.88,25.42,3.63142494,543600,0.0,1.0
2006-03-13,25.22,25.46,25.021,25.1,3.5857107,904800,0.0,1.0
2006-03-10,25.11,25.8,24.65,25.55,3.64999635,1006800,0.0,1.0
2006-03-09,25.11,25.77,25.06,25.25,3.60713925,730000,0.0,1.0
2006-03-08,25.5,25.54,25.01,25.13,3.58999641,656900,0.0,1.0
2006-03-07,25.47,25.86,24.91,25.46,3.63713922,863600,0.0,1.0
2006-03-06,26.88,26.88,25.3,25.62,3.65999634,1390700,0.0,1.0
2006-03-03,26.6,26.97,26.52,26.76,3.82285332,574100,0.0,1.0
2006-03-02,26.65,27.12,26.38,26.81,3.82999617,585400,0.0,1.0
2006-03-01,26.81,26.92,25.99,26.85,3.83571045,855800,0.0,1.0
2006-02-28,26.53,26.88,25.55,26.81,3.82999617,1067000,0.0,1.0
2006-02-27,26.24,26.54,26.16,26.53,3.78999621,797800,0.0,1.0
2006-02-24,25.65,26.12,25.5,25.98,3.71142486,599900,0.0,1.0
2006-02-23,26.28,26.28,25.2,25.71,3.67285347,1242200,0.0,1.0
2006-02-22,25.75,26.55,25.7,26.37,3.76713909,1161700,0.0,1.0
2006-02-21,25.2,25.74,25.07,25.74,3.67713918,1146300,0.0,1.0
2006-02-17,25.24,25.25,24.94,24.98,3.56856786,634300,0.0,1.0
2006-02-16,24.88,25.42,24.88,25.15,3.59285355,690800,0.0,1.0
2006-02-15,24.78,25.25,24.45,24.95,3.56428215,1369100,0.0,1.0
2006-02-14,25.0,25.1,23.99,24.59,3.51285363,1627200,0.0,1.0
2006-02-13,25.46,25.47,25.0,25.23,3.60428211,1102100,0.0,1.0
2006-02-10,24.65,25.74,24.39,25.43,3.63285351,1489100,0.0,1.0
2006-02-09,25.01,25.272,24.46,24.58,3.51142506,1469000,0.0,1.0
2006-02-08,25.87,26.03,25.01,25.14,3.59142498,1728300,0.0,1.0
2006-02-07,26.39,26.46,25.75,25.92,3.70285344,1062500,0.0,1.0
2006-02-06,26.05,26.29,25.68,26.28,3.75428196,1281700,0.0,1.0
2006-02-03,26.0,26.27,25.35,26.11,3.72999627,1314700,0.0,1.0
2006-02-02,27.04,27.45,25.72,26.1,3.7285677,2645400,0.0,1.0
2006-02-01,27.43,27.5,26.5,27.11,3.87285327,1606500,0.0,1.0
2006-01-31,27.4,27.99,27.19,27.55,3.93571035,1973400,0.0,1.0
2006-01-30,28.03,28.1,27.39,27.6,3.9428532,2099700,0.0,1.0
2006-01-27,28.5,28.6,27.27,27.82,3.97428174,2972000,0.0,1.0
2006-01-26,28.51,29.05,28.5,29.0,4.142853,2503200,0.0,1.0
2006-01-25,28.58,29.92,27.98,28.59,4.08428163,10339000,0.0,1.0
2006-01-24,23.435,24.75,23.435,24.74,3.53428218,5399500,0.0,1.0
2006-01-23,23.6,24.04,23.09,23.28,3.32571096,1294000,0.0,1.0
